abdome 	parte do corpo situada entre o tórax e a pelve; barriga
morbidade 	número de casos de uma doença em grupo populacional
mórber 	que tem a ver com a morte
morfina 	medicamento de alto poder analgésico usado para aliviar dores severas
motricidade 	movimentos voluntários do corpo
movimento voluntário 	movimento(s) do corpo que se realizam  por vontade própria
movimento involuntário 	movimento do corpo que acontece sem a pessoa desejar
mptp 	a pesquisar
muco 	secreção, fluído elástico de origem biológica, ranho
mucosa 	revestimento úmido da pele, como dentro do nariz e boca
mucosite 	inflamação das mucosas
multifatorial 	que possui vários fatores envolvidos
muscular 	a pesquisar
músculo 	músculos são como o motor do aparelho locomotor, pois proporcionam a força necessária para movimentar os vários segmentos do corpo e para manter o equilíbrio
músculo estriar cardíaco 	músculo que controla as contrações produzidas pelos batimentos cardíacos; o mesmo que miocárdio
músculo estriar 	músculos voluntários que movem os ossos e dão sustentação ao esqueleto
músculo estriar esquelético 	músculos que movimentam todos os ossos, a face e os olhos; o corpo controla consientemente a atividade de músculos estriados
músculo esquelético 	músculos voluntários que movem os ossos e dão sustentação ao esqueleto
músculo visceral 	músculos involunátios que movimentam os órgãos internos, como o trato digestivo; o corpo não tem controle consciente sobre esses músculos; o mesmo que músculo liso e músculo não estriado
músculo não estriar 	músculos involunátios que movimentam os órgãos internos, como o trato digestivo; o corpo não tem controle consciente sobre esses músculos; o mesmo que músculo liso e músculo não estriado
músculo liso 	músculos involunátios que movimentam os órgãos internos, como o trato digestivo; o corpo não tem controle consciente sobre esses músculos; o mesmo que músculo liso e músculo não estriado
mutação 	alteração, mudança
mutação genética 	corresponde à alteração de um gene, podendo afetar seu funcionamento normal
nac 	núcleo accumbens
narcolepsia 	crises de sono profundo, de breve duração 
nasogástrico 	do nariz e do estômago
náusea 	enjoo ou ânsia de vômito
nb 	núcleos da base
necropsia 	exame de um corpo morto
necrose 	morte de uma célula
nefrolitíase 	pedras nos rins
nefrologia 	estudo do rim, suas funções e doenças
nefrologista 	médico especializado em doenças e tratamento dos rins
néfron 	menor unidade funcional do rim
nefrose 	distúrbio renal que faz com que o corpo excrete proteína em excesso na urina
neoadjuvante 	terapia realizada antes do tratamento principal
neoestriar 	a pesquisar
neoplasia 	crescimento anormal de um grupo de células; o mesmo que tumor
neoplasma 	aumento anormal, pode ser um tumor (*definição de tumor) ou um cisto (*definição de cisto)
nerlurin 	a pesquisar
nervo 	partes do corpo semelhantes a fios que se dividem e se ligam, transportando mensagens dos órgãos dos sentidos para o cérebro e instruções do cérebro para outras partes do corpo
nervo craniano 	a pesquisar
nervo eferente 	a pesquisar
nervo espinhal 	a pesquisar
nervo facial 	a pesquisar
nervo óptico 	a pesquisar
nervo periférico 	a pesquisar
nervo radial 	a pesquisar
nervo aferente 	a pesquisar
neuralgia 	dor em um nervo
neurite 	inflamação de um nervo
neuroacantocitose 	a pesquisar
neurocirurgião 	médico que opera em casos de problemas no cérebro e em outras parte sistema nervoso central
neurocomportamental 	a pesquisar
neurodegeneração 	destruição dos neurônios (células do sistema nervoso) que acontece aos poucos e que não tem recuperação
neurodegenerativo 	relacionado à destruição dos neurônios (células do sistema nervoso)
neuroendoscopia 	a pesquisar
neuroestimulador 	a pesquisar
neurofarmacologia 	a pesquisar
neuróglia 	a pesquisar
neuroléptico 	a pesquisar
neurologia 	ramo da medicina que estuda o sistema nervoso, suas funções e desordens
neurologista 	médico especializado no estudo do sistema nervoso, suas funções e doenças
neuroma 	tumor composto de células nervosas
neuromuscular 	a pesquisar
neurônio 	célula do sistema nervoso (cérebro e medula espinhal) que processa informações e gera respostas no corpo
neurônio colinérgico 	a pesquisar
neurônio dopaminérgico 	neurônios que produzem e liberam dopamina
neurônio gabaérgico 	neurônios que secretam GABA
neuropatia 	doença(s) do sistema nervoso (*definição de sistema nervoso)
neuropatia autônoma 	doenças que afetam os nervos que regulam automaticamente (sem esforço consciente) os processos do corpo; a pessoa pode sentir tontura, ter problema para controlar a bexiga, intestino preso, entre outros sintomas
neuropatia autonômica 	doenças que afetam os nervos que regulam automaticamente (sem esforço consciente) os processos do corpo; a pessoa pode sentir tontura, ter problema para controlar a bexiga, intestino preso, entre outros sintomas
neuropática 	tipo de sensação dolorosa que ocorre em uma ou mais partes do corpo e é associada a doenças que afetam o Sistema Nervoso Central, ou seja, os nervos periféricos, a medula espinhal ou o cérebro
neuroplastia 	capacidade de um tecido neural se reagrupar
neuroproteção 	mecanismos e estratégias usados para proteger os neurônios contra danos decorrentes de enfermidades que afetam o Sistema Nervoso Central
neuropsicológico 	a pesquisar
neuroquímico 	a pesquisar
neurose 	a pesquisar
neurotransmissor colinérgico 	a pesquisar
neurotransmissor noradrenérgico 	a pesquisar
neurotransmissor serotoninérgico 	a pesquisar
neurotransmissor 	mensageiros químicos que transportam, estimulam e equilibram os sinais entre os neurônios (*Ver neurônio no glossário) e outras células do corpo
nicotina 	substância química que tem no fumo e em cigarros e assemelhados
nictúria 	urinar com frequência durante a noite (o mesmo que noctúria)
nistagmo 	movimento involuntário dos olhos que pode fazer o olho mover-se de um lado para outro, para cima e para baixo ou em círculos
nível sérico 	quantidade de uma substância no sangue
noctúria 	urinar com frequência durante a noite (o mesmo que nictúria)
noradrenalina 	o mesmo que norepinefrina
norepinefrina 	o mesmo que noradrenalina
núcleo 	parte da célula onde está o DNA genômico e onde ocorre a síntese do RNA. Corpúsculo esférico que constitui a parte essencial da célula
núcleo accumbem 	a pesquisar
núcleo caudar 	a pesquisar
núcleo lenticular 	a pesquisar
núcleo lentiforme 	a pesquisar
núcleo putâmem 	a pesquisar
núcleos de o base 	partes do cérebro que se comunicam e cuidam, por exemplo, da coordenação motora e da cognição
nurr1 	a pesquisar
nutrição 	alimentação
nutricional 	que tem a ver com alimentação
nutricionista 	profissional graduado que cuida da alimentação de uma pessoa
nutrólogo 	a pesquisar
obnubilação 	paciente muito sonolento, ou seja, necessita ser estimulado intensamente, com associação de estímulo auditivo mais intenso e estímulo tátil
óbito 	morte 
obesidade 	peso acima do normal
obstipação 	prisão de ventre
ocluir 	fechar hermeticamente
oclusão 	fechamento
oclusão carotídea 	a pesquisar
ocupacional 	que tem a ver com o trabalho ou com o que a pessoa faz
odontologia 	especialidade médica que cuida da saúde da boca das pessoas
odontológico 	que tem a ver com a saúde da boca de uma pessoa
odontólogo 	profissional graduado que cuida da saúde da boca de uma pessoa
oleaginoso 	ricas em óleos ou gorduras
oftálmico 	dos olhos
oftalmologia 	parte da medicina que cuida das doenças e tratamento dos olhos
oftalmológico 	médico que cuida das saúde dos olhos das pessoas
oftalmologista 	médico especializado nas doenças e tratamento dos olhos
oftalmoparesia 	a pesquisar
oftalmoparesia vertical suprir 	dificuldade para olhar para baixo
olfanação 	a pesquisar
olfativo 	que tem a ver com a capacidade de sentir cheiros
olfato 	um dos cinco sentidos; processo de sentir cheiros
oligocinesia 	lentidão e redução da atividade motora espontânea, na ausência de paralisia. Há também uma grande dificuldade para se dar início aos movimentos
oligúria 	diminuição ou ausência de produção de urina
orientação alopsíquica 	diz respeito à capacidade de orientar-se em relação ao mundo, isto é, quanto ao espaço (orientação espacial ) e ao tempo (orientação temporal)
orientação espacial 	capacidade de se orientar no espaço ou ambiente
orientação temporal 	capacidade de se orientar no tempo ou épocas
ortodontista 	dentista que cuida do posicionamento correto dos dentes
ortopneia 	dificuldade de respirar a menos que se esteja de pé
ossififcação 	processo de formação do osso
osteo 	relativo ao osso
osteopatia 	a pesquisar
osteopenia 	deficiência da massa óssea
osteoporose 	doença em que os ossos ficam porosos e fracos
otite 	infecção no ouvido
palato 	céu da boca
paladar 	sentir gostos
palato duro 	serve para oferecer uma certa resistência à língua durante a mastigação e a deglutição
palato mole 	encarrega-se de bloquear a passagem dos alimentos para as fossas nasais no momento de os engolir
palidectomia 	a pesquisar
palidotomia 	a pesquisar
palilalia 	a pesquisar
palpação 	apalpar com a palma da mão ou com os dedos
pálpebra 	parte do olho acima dos cílios ou pestanas
palpitação 	batimento acelerado do coração
pâncreas 	a pesquisar
pancreatite 	inflamação do pâncreas
pandemia 	disseminação mundial de uma doença para dois ou mais continentes, termo usado principalmente em relação à gripe
parada cardiorrespiratória 	a pesquisar
paralisia 	perda da capacidade de movimento voluntário de um músculo, que pode ser causada por doenças no próprio músculo ou por doenças neurológicas
paralisia agitante 	nome antigo e inicial para Doença de Parkinson 
paralisia cerebral 	a pesquisar
paralisia facial 	a pesquisar
paralisia supranuclear progressiva 	a pesquisar
parâmetros cinemático 	a pesquisar
parâmetros eletromiográfico 	a pesquisar
parâmetros espaço temporal 	a pesquisar
paranoia 	a pesquisar
parapesia 	paralisia da metade inferior do corpo; o mesmo que paraplesia
paraplegia 	paralisia da metade inferior do corpo
parassimpatomimético 	a pesquisar
parênquia hepático 	tecido do fígado
parênquima cerebral 	tecido do cérebro
parestesia 	sensação de latejamento, formigamento ou dormência em uma região do corpo, sem um efeito físico aparente
parkinsoniano 	pessoa que tem a Doença de Parkinson
parkinsonismo 	síndrome, conjunto de sintomas, com tremores e lentidão de movimentos semelhantes à Doença de Parkinson, mas que não é Doença de Parkinson 
paroxística 	espasmos
patogênese 	a pesquisar
patógeno 	organismo capaz de produzir doenças infecciosas aos seus hospedeiros sempre que esteja em circunstâncias favoráveis, podem ser bactérias, vírus, fungos, entre outros, o mesmo que agente patogênico
patogenia 	o que causa a doença
patologia 	ramo da medicina que estuda as doenças e seus efeitos; o mesmo que doença
patológico 	relativo à doença
patologista 	médico que diagnostica doenças examinando tecidos e células com um microscópio; também realiza autópsias (*Ver autópsia no glossário)
pedículo cerebelar superior 	a pesquisar
pelve 	osso do quadril
perfusão 	bombeamento de um líquido através de um órgão
pericardial 	ao redor do coração
periodicidade 	a pesquisar
períodos off 	intervalos de tempo entre as doses nos quais a medicação perde a eficácia
periósteo 	membrana que recobre o osso, sendo a única parte do osso sensível à dor
períneo 	região do corpo humano que começa, para as mulheres, na parte de baixo da vulva e estende-se até o ânus; no homem, localiza-se entre o saco escrotal e o ânus
peristaltismo 	Movimento de contração do tubo digestivo em onda progressiva, de cima para baixo, de forma a deslocar seu conteúdo no sentido do ânus
peritônio 	tipo de membrana que reveste a parte interna do abdômen
perna agitar 	a pesquisar
pesticida 	substância usada para matar pragas na agricultura, agrotóxico
pilates 	conjunto de exercícios físicos, ministrados por profissional habiltado, feitos de acordo com o método inventado por Joseph Pilates em 1920
pink1 	a pesquisar
piridoxina 	vitamaina antioxidante, conhecida como vitamina B-6, atua no sistema nervoso para produzir hormônios importantes
placebo 	a pesquisar
plaquetária 	a pesquisar
plaqueta 	a pesquisar
plasma 	a pesquisar
plasmócito 	Célula do sangue, originada na medula óssea e que pertence ao sistema imunológico do ser humano
plasticidade 	capacidade de uma área do cérebro de alterar sua função
pleura 	membrana que reveste o pulmão
pleura visceral 	a pesquisar
pneumologia 	a pesquisar
pneumologista 	a pesquisar
pneumonia 	infecção no pulmão
polidipsia 	sensação excessiva de sede (sintoma da diabetes)
polineurite 	inflamação de muitos nervos
pólipo 	a pesquisar
polissintomática 	a pesquisar
poliúria 	micção excessiva ou frequente
porção reticular 	parte da substância negra (*definição de substância negra) que interfere no tônus muscular
portador 	pessoa que tem alguma doença, condição ou necessidade especial. Em vez de "portador [da Doença] de Parkinson", use "pessoa com Parkinson"
pós operatório 	a pesquisar
potência de gama 	a pesquisar
pramipexol 	a pesquisar
praxia 	movimento intencional, organizado, tendo em vista a obtenção de um fim ou de um resultado determinado. Não é um movimento reflexo, nem automático, é um movimento voluntário, consciente, intencional, organizado
prejuízo funcional 	a pesquisar
pré mórbido 	a pesquisar
presbiopia 	problema de visão devido ao envelhecimento
prescrição 	receita dada por um médico para um remédio; rotina de cuidados com a saúde implementadas por um médico ou outro profissional de saúde qualificado para um paciente específico
pressão sanguínea 	pressão exercida pelo sangue contra as paredes dos vasos
procedimento estereotáxico 	procedimento de exame em que um aro é fixado em torno da cabeça do paciente para que o médico possa, com auxílio de um exame de imagem, direcionar, com precisão, um instrumento até um ponto exato dentro do cérebro da pessoa.
prognóstico 	conhecimento ou juízo antecipado, feito pelo médico, baseado necessariamente no seu diagnóstico nas possibilidades terapêuticas, segundo o conhecimento atual, acerca da duração, da evolução e do eventual término ou desfecho de uma doença ou quadro clínico sob seu cuidado ou orientação.
pronação 	a pesquisar
prontuário médico 	conjunto de documentos padronizados destinados ao registro do atendimento prestado ao paciente
propriocepção 	capacidade de perceber a posição de partes do corpo ou sua totalidade em relação ao espaço, além da percepção do movimento do corpo
propulsão 	a pesquisar
prosódia 	melodia da fala
prosopagnosia 	incapacidade de reconhecer rostos conhecidos, como de amigos 
próstata 	a pesquisar
proteico 	rico em proteínas
proteína 	a pesquisar
proteína g 	a pesquisar
protocolo clínico 	Estabelece claramente os critérios de diagnósticos de cada doença, o tratamento preconizado com os medicamentos disponíveis nas respectivas doses corretas, os mecanismos de controle, o acompanhamento e a verificação de resultados, e a racionalização da prescrição e do fornecimento dos medicamentos
protrusão 	deslocamento de um órgão para a frente
proximal 	mais próximo ao membro
prurir 	coceira
psicogênico 	a pesquisar
psicologia 	estudo da mente, dos processos mentais e do comportamento humano
psicólogo 	a pesquisar
psicose 	doença mental caracterizada por uma perturbação extrema, com frequência acompanhada de delírios e alucinações
psicossomático 	referente à mente e o corpo
psicoterapeuta 	a pesquisar
psicoterapêutico 	a pesquisar
psicoterápico 	a pesquisar
psicotrópico 	a pesquisar
psiquiatra 	a pesquisar
psiquiatria 	a pesquisar
psns 	o mesmo que Parassimpatomimético
púbis 	a pesquisar
pulmões 	a pesquisar
pulmonar 	relativo aos pulmões
pulsátil 	a pesquisar
punção 	a pesquisar
pupilo 	a pesquisar
pupilo dilatar 	a pesquisar
purgativo 	laxante forte
purina 	componentes fundamentais ao DNA (*definição de DNA) presentes no nosso organismo e em alimentos como carne vermelha, frutos do mar, peixes, certos grãos como ervilha, lentilha e feijão, em bebidas alcoólicas, principalmente cerveja
pústula 	área de pus em discreto relevo na pele
putâmen 	a pesquisar
quadríceps 	músculo da coxa
queimação 	a pesquisar
queloide 	cicatriz espessa que cresce de forma anormal
quimioluminescência 	a pesquisar
quimioterapia 	a pesquisar
radiofrequência 	a pesquisar
radiografia 	a pesquisar
radioterapia 	a pesquisar
raio x 	imagem dos ossos
raio x 	imagem dos ossos
rasagilina 	a pesquisar
rash 	a pesquisar
reabilitação 	a pesquisar
reação alérgica 	a pesquisar
reações adverso 	são quaisquer reações indesejadas a um medicamento
receptor adrenérgico 	a pesquisar
receptor colinérgico 	a pesquisar
receptor dopaminérgico 	a pesquisar
receptor pós sináptico 	a pesquisar
redundância 	capacidade de mais de uma área do cérebro de desempenhar a mesma função
reflexo de estiramento 	o mesmo que reflexo miotático
reflexo de flexão 	a pesquisar
reflexo de flexão 	a pesquisar
reflexo de retirada 	a pesquisar
reflexo miotático 	o mesmo que reflexo de estiramento
reflexo 	reação corporal automática
refluxo 	a pesquisar
refluxo gastroesofágico 	a pesquisar
regurgitação 	retorno de sólidos ou fluidos para a boca vindos do estômago
remissão 	a pesquisar
reserpina 	a pesquisar
respiração diafragmática 	a pesquisar
resposta imunológica 	a pesquisar
ressonância 	a pesquisar
ressonância magnética 	exame de imagem de alta definição usado para detectar doenças neurológicas, ortopédicas, abdominais, cervicais e cardíacas
retardo mental 	condição, geralmente irreversível, caracterizada por uma capacidade intelectual inferior à normal com dificuldades de aprendizado e de adaptação social, que normalmente está presente desde o nascimento ou que se manifesta nos primeiros anos da infância
retenção fecal 	a pesquisar
retenção urinária 	a pesquisar
retrocolo 	a pesquisar
retropulsão 	tendência de cair para trás
retrovírus 	tipo de vírus; o HIV (que causa a AIDS) é um tipo de retrovírus
ribossomos 	estruturas responsáveis pela síntese de proteínas nas células
rigidez 	endurecimento
rigidez muscular 	endurecimento dos músculos
rinite 	inflamação da mucosa do nariz, que causa coceira, olhos lacrimejantes, espirros etc.
rim 	dois órgãos que filtram e eliminam substâncias tóxicas do corpo
ritmo circadiano 	oscilação em um período de 24 horas dos parâmetros fisiológicos, metabólicos e comportamentais
rna 	a pesquisar
ropinirol 	a pesquisar
rotigotina 	a pesquisar
saturação 	a pesquisar
seborreia 	produção em excesso de sebo gordura pela glândulas sebáceas
secreção 	a pesquisar
secretar 	a pesquisar
sedação 	tipo de anestesia; técnica que permite a diminuição dos níveis de consciência do paciente, mantendo suas funções vitais, como respiração, deglutição etc.
sedado	anestesiado
sedar 	anestesiar
sedativo 	que anestesia
sedentário 	pessoa que passa muito tempo inativa, isto é, sem fazer exercícios físicos
sedentarismo 	situação em que a pessoa não pratica qualquer tipo de atividade física regularmente, além de permanecer muito tempo sentada e não ter disposição para realizar atividades simples do dia a dia, o que tem influência direta na saúde e bem-estar da pessoa
selegilina 	medicamento para Doença de Parkinson
sêmen	esperma; porra; líquido produzido pelo corpo do macho para levar seus espermatozóides até o óvulo dentro do corpo da fêmea
semiologia 	a pesquisar
semiológico 	a pesquisar
sequenciamento de exoma 	exame que identifica doenças genéticas
sequenciamento de dna 	a pesquisar
sepse 	quando substâncias químicas liberadas na corrente sanguínea para combater uma infecção desencadeiam uma inflamação em todo o corpo
sépsis 	quando substâncias químicas liberadas na corrente sanguínea para combater uma infecção desencadeiam uma inflamação em todo o corpo
serotonina 	substância encontrada em tecidos humanos e animais, especialmente no cérebro e nas mucosas gástricas, que desempenha importante função como neurotransmissor, vasoconstritor e regulador da atividade dos músculos lisos.
sialorreia 	saliva que escorre para fora da boca
sinal vital 	a pesquisar
sinal de babinski 	em casos de lesão dos tratos córtico-espinais, o dedão dobra para trás ao estímulo da pele da parte de baixo do pé (quando a resposta normal seria dobrar para baixo)
sinapse 	a pesquisar
sinapse colinérgica 	a pesquisar
sincinesia 	tendência patológica para a execução simétrica de qualquer movimento, de qualquer contração muscular que executa um membro (a mão em geral) sem que a associação possua um significado funcional
síncope 	desmaio ou perda repentina da consciência
síndrome de parkinson	sintomas relacionados com a doença de Parkinson, como tremor, lentidão e outros
síndrome de shy drager 	a pesquisar
síndrome extrapiramidal 	a pesquisar
síndrome parkisoniana 	o mesmo que parksinsonismo, conjunto de sintomas semelhantes à Doença de Parkinson
sinemet 	medicamento para Doença de Parkinson
sintetização 	produção; agrupamento
sintetizar 	produzir; agrupar
sintoma 	o que a pessoa sente quando tem uma doença
sintoma autonômico 	intolerância ao calor, suor excessivo, constipação intestinal, entre outros
sintoma neurovegetativo 	náuseas, vômitos, palidez
sintomático 	que apresenta sintomas; sinais de uma condição ou doença
sintomatologia 	sintomas ou sinais de uma condição ou doença
sinucleína 	a pesquisar
siringomesencefalia 	a pesquisar
sistema cardiovascular 	a pesquisar
sistema digestivo 	formado por vários órgãos como boca, faringe, esôfago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas, é responsável por transformar os alimentos que comemos em combustível para o nosso corpo funcione.
sistema digestório 	formado por vários órgãos como a  boca, faringe, esófago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas, é  boca, faringe, esófago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas, é responsável por obter dos alimentos ingeridos os nutrientes necessários às diferentes funções do organismo, como crescimento, energia para reprodução, locomoção, etc
sistema endócrino 	sistema que mantém o equilíbrio químico do corpo, trabalha em conjunto com o sistema nervoso para regular os outros sistemas. Isso é feito enviando mensageiros chamados hormônios através do corpo via corrente sanguínea.
sistema esquelético 	a pesquisar
sistema excretor 	a pesquisar
sistema extrapiramidal 	a pesquisar
sistema imune 	conjunto de órgãos, tecidos e células responsáveis pelo combate a microrganismos invasores, impedindo, assim, o desenvolvimento de doenças
sistema imunológico 	conjunto de órgãos, tecidos e células responsáveis pelo combate a microrganismos invasores, impedindo, assim, o desenvolvimento de doenças
sistema límbico 	responde pelos comportamentos instintivos, pelas emoções profundamentes arraigadas e pelos impulsos básicos, como sexo, ira, prazer e sobrevivência.
sistema linfático 	responsável por coletar impurezas da circulação e manter nossas defesas vigilantes contra os micróbios
sistema motor extrapiramidal 	sistema que atua principalmente nos movimentos inconscientes do corpo, como o caminhar, o equilíbrio, a escrita, entre outros
sistema muscular 	formado pelo conjunto de músculos do nosso corpo. Os músculos se contraem e relaxam, gerando movimentos que nos permitem andar, correr, impulsionar o alimento ao longo do tubo digestório, promover a circulação do sangue no organismo, urinar, dentre muitas outras atividades. 
sistema nervoso autônomo 	parte do sistema nervoso que controla funções como a respiração, circulação do sangue, temperatura e digestão
sistema nervoso central 	rede de comunicação do nosso corpo formada pelo cérebro, medula espinhal e nervos
sistema nervoso parassimpático 	a pesquisar
sistema nervoso periférico 	nervos; liga o sistema vervoso central aos outros órgãos do corpo para transportar informações
sistema nervoso visceral 	parte do sistema nervoso que controla funções como a respiração, circulação do sangue, temperatura e digestão
sistema neurovegetativo 	parte do sistema nervoso que controla funções como a respiração, circulação do sangue, temperatura e digestão
sistema parassimpático 	a pesquisar
sistema reprodutor 	órgãos que trabalham em conjunto pela reprodução; na mulher são a vagina, os ovários, as trompas e o útero e no homem são os testículos, o pênis, o escroto e a prostata  
sistema respiratório 	formado pelo nariz, faringe, laringe, traqueia, brônquios e pulmões, nesta ordem
sistema simpático 	a pesquisar
sistema tegumentar 	a pesquisar
sistema urinário 	órgãos que trabalham em conjunto para a produção, depósito e eliminação da urina, sendo eles dois rins, dois ureteres, uma bexiga e uma uretra
sistole 	fase de contração da batida do coração
snc 	Sistema Nervoso Central
sobrar 	a pesquisar
sonambulismo 	quando a pessoa anda e fala dormindo
sonho vívido 	sonhos que parecem reais
sono rem 	fase do sono em que a pessoa sonha
sonolência 	grande vontade de dormir; sentir muito sono
subcostal 	abaixo das costelas
subcutâneo 	localizado sob a pele
sublingual 	debaixo da língua
substância cinzento 	responsável por interpretar os impulsos nervosos das regiões do corpo até o encéfalo, produzir impulsos e coordenar atividades musculares e reflexos; o mesmo que massa cinzenta; 
substância negro 	porção do cérebro que é responsável pela produção de dopamina (*Ver dopamina no glossário)
substância nigra 	porção do cérebro que é responsável pela produção de dopamina (*Ver dopamina no glossário)
suceptibilidade genética 	a pesquisar
sudorese 	suor excretato, transpiração
sujeito controlo 	a pesquisar
suplementação 	que completa
sutura 	tipo de ligação usada por médicos e cirurgiões-dentistas para manter unido pele, músculos, vasos sanguíneos e outros tecidos do corpo humano, após terem sido seccionados por um ferimento; ponto cirúrgico
tálamo 	parte do cérebro responsável por receber informações relacionadas aos sentidos, como audição, paladar, tato, visão (menos o olfato) e enviá-las para o córtex cerebral (*Ver córtex cerebral no glossário), onde essas informações serão processadas
talamotomia 	a pesquisar
taquicardia 	batimentos cardíacos rápidos
taquifemia 	a pessoa passa a agrupar as palavras
taquilalia 	caracterizada por uma taxa de articulação ("velocidade de fala") elevada, suficientemente intensa para prejudicar a inteligibilidade da mensagem
tarefa motor fino 	tarefas que exigem coordenação fina, como abotoar roupas, amarrar sapatos, cortar unhas, pentear cabelos, usar talheres etc.
taxa de letalidade 	proporção entre o número de mortes por uma doença e o número total de doentes que sofrem dessa doença, ao longo de um determinado período de tempo
tdh 	a pesquisar
tecido adiposo 	tecido de gordura
tecido conectivo 	sustenta e reveste as estruturas corporais, mantém os orgãos no lugar e conecta as partes do corpo entre si; os ossos e cartilagens são exemplos de tecidos conectivos
tecido conjuntivo 	sustenta e reveste as estruturas corporais, mantém os orgãos no lugar e conecta as partes do corpo entre si; os ossos e cartilagens são exemplos de tecidos conjuntivos
tecido epitelial 	encontrado na pele e no revestimento dos vasos sanguíneos; forma a cobertura das superfícies internas e externas do corpo e o revestimento dos tratos digestivo, respiratório e urinário 
tecido fibroso 	a pesquisar
tecido mole 	a pesquisar
tecido muscular 	tecido que proporciona movimento; sua função principal é contrair-se
tecido muscular liso 	tecido que apresenta uma contração lenta e involuntária e forma a musculatura dos órgãos internos, como a bexiga, estômago, intestino e vasos sanguíneos
tecido muscular estriar esquelético 	apresenta uma contração rápida e voluntária e está ligado aos ossos e atua na movimentação do corpo
tecido estriado cardíaco 	a pesquisar
tecido nervoso 	tecido que conduz impulsos de e para o cérebro e é composto de células nervosas chamadas de neurônios
telencéfalo 	a pesquisar
tendão 	tecido conectivo que une os músculos aos ossos
tendinite 	inflamação nos tendões
terapêutica 	que trata
terapêutica 	tratamento
terapia ocupacional 	campo de conhecimento da área da saúde que tem como principal objetivo promover o bem-estar e a qualidade de vida de pessoas de todas as idades, capacitando-as para a ocupação
terapeuta ocupacional 	profissional graduado em terapia ocupacional, que cuida do  bem-estar e da qualidade de vida de pessoas de todas as idades, capacitando-as para a ocupação
terapia protetora 	a pesquisar
terapia sintomática 	a pesquisar
termocoagulação 	a pesquisar
termo de consentimento 	documento em que a pessoa concorda com algo
testosterona 	hormônio  sexual masculino
tetania 	doença neurológica que causa espasmos(contrações) dos músculos, normalmente a flexão acentuada dos pulsos ou articulações do tornozelo
tímpano 	membrana do ouvido
tique 	movimentos ou sons súbitos, rápidos e involuntários
tireoide 	localizada na parte anterior do pescoço, é uma das maiores grândulas do corpo e age na função de órgãos importantes como o coração, cérebro, fígado e rins, além de interferir em várias outras funções como o crescimento das crianças e adolescentes, ciclo menstrual da mulher e muito mais
tirosina 	substância encontrada em carnes brancas e vermelhas e frutos do mar e que forma a dopamina. Ver dopamina no Glossário.
tolcapone 	medicamento para Doença de Parkinson
tomografia 	tipo de exame de diagnóstico por imagem
tomografia computadorizada 	tipo de exame de diagnóstico por imagem
tônus muscular 	condição dos músculos que permite a boa sustentação do corpo, incluindo a sustentação do órgãos internos
tônus postural 	a pesquisar
topografia de córnea 	exame de oftalmologia que serve para analisar o relevo e curvatura da córnea em toda a sua superfície; o mesmo que topografia corneana
topografia corneana 	exame de oftalmologia que serve para analisar o relevo e curvatura da córnea em toda a sua superfície; o mesmo que topografia de córnea
tórax 	peito
torácico 	do peito
torcicolo 	torcida dolorosa do pescoço
torpor 	paciente sonolento, não responsivo, necessitando de estimulação dolorosa para responder
toxicologia 	a pesquisar
toxina botulínica 	a pesquisar
toxina 	substância tóxica, veneno
tpm 	tensão pré-mestrual
transdução 	processo através do qual uma célula converte um tipo de sinal ou estímulo em outro
transecção 	a pesquisar
transmissão vertical 	o que passa da mãe para seu filho, durante a gravidez, na hora do parto ou pela amamentação
transtorno bipolar 	doença psiquiátrica em que a pessoa tem alterações repentinas de humor
transtorno amnéstico 	a pesquisar
transtorno conversivo 	a pesquisar
transtorno distímico 	a pesquisar
transtorno de o déficit de atenção 	a pesquisar
transtorno de o humor 	transtornos de saúde mental nos quais as alterações emocionais consistem em períodos prolongados de tristeza excessiva (depressão) ou de euforia (mania), ou ambos
transtorno 	a pesquisar
traqueia 	órgão tubular e cilíndrico localizado entre a laringe e os brônquios que filtra, umedece e conduz o ar aos pulmões
traqueostomia 	abertura artificial da traqueia após traqueotomia
traqueotomia 	corte na traqueia (*defifnição de traqueia)
tratamento medicamentoso 	tratamento que envolve o uso de medicamentos
tratamento reabilitacional 	tratamento que envolve exercícios físicos, acompanhamento psicológico etc.
tratamento adjuvante 	tratamento auxiliar
tratamento cirúrgico 	tratamento que envolve cirurgias
tratamento sintomático 	praticado para acalmar ou aliviar os sintomas nas doenças que se desconhecem ou que não têm um tratamento eficaz
trato digestivo 	a pesquisar
trato respiratório 	a pesquisar
trato urinário 	formado pelos rins, ureteres, bexiga e uretra. Ver cada órgão no glossário.
trato córtico espinal 	a pesquisar
trato gastrointestinal 	a pesquisar
trauma craniano 	lesão ou fratura da cabeça
tremor refratário 	a pesquisar
tremor 	a pesquisar
tremor cinético 	a pesquisar
tremor de ação 	a pesquisar
tremor de repouso 	a pesquisar
tremor distal 	a pesquisar
tremor essencial 	problema neurológico em que ocorrem tremores sem que a pessoa consiga controlar, geralmente é confundido com a Doença de Parkinson
tremor postural 	a pesquisar
triagem 	separação, escolhas, filtragem
tricíclico 	a pesquisar
trombócitos 	células de coagulação ou plaquetas
